Tectonic regime,Period,Lithology,Structural setting,Hydrocarbon type,Gross,Netpay,Porosity,Permeability,Depth
0,12,9,2,5,2,3,3,3,2
2,7,11,6,3,3,3,0,1,4
5,15,15,11,2,1,1,3,3,4
5,15,11,11,2,3,4,3,3,4
0,7,9,7,5,2,2,3,2,1
3,7,9,5,5,0,0,1,1,3
0,4,9,8,5,2,2,0,1,2
0,4,9,8,5,3,2,0,1,3
0,12,11,2,5,0,1,3,1,2
0,17,11,2,5,4,4,0,0,4
4,12,11,6,5,3,4,2,3,4
2,27,11,6,3,3,4,1,3,4
0,4,6,3,5,0,1,1,1,2
4,17,11,7,5,3,4,3,3,3
0,4,6,3,5,0,1,0,1,2
2,12,11,6,5,0,1,2,4,4
5,17,11,11,5,3,0,3,3,0
0,12,11,9,3,4,4,0,0,4
5,9,12,3,2,0,2,0,1,0
4,15,10,0,5,4,3,4,3,0
5,15,9,0,3,3,4,2,1,3
0,7,9,7,5,2,3,4,1,3
2,17,9,6,5,2,3,2,2,3
2,21,11,6,5,4,4,2,0,2
2,21,6,6,5,0,0,1,2,2
0,21,6,7,2,4,4,1,1,3
2,7,10,6,5,1,1,1,1,4
2,7,11,6,3,3,2,3,2,2
2,7,11,6,3,2,3,3,3,3
2,7,11,6,3,4,4,1,3,4
2,15,11,8,5,2,2,3,3,1
0,18,9,2,5,4,4,3,2,0
0,26,4,9,5,3,2,1,2,2
4,15,10,4,5,1,1,4,2,0
3,15,11,7,2,1,2,4,4,4
4,17,11,6,5,1,0,4,4,0
3,15,11,1,5,2,3,3,3,2
4,21,11,8,2,3,4,1,0,2
4,17,11,4,5,0,1,4,4,1
4,17,11,4,2,2,4,4,4,0
0,4,9,3,5,1,0,0,0,3
2,15,11,8,5,4,4,2,3,2
0,7,11,2,5,0,0,4,4,1
0,12,9,2,5,2,3,2,2,3
2,12,11,6,5,3,4,2,3,3
2,12,11,6,5,2,2,1,2,3
2,12,11,6,5,1,3,2,3,4
0,18,7,2,5,4,4,0,0,0
2,4,6,3,5,0,0,2,1,3
0,4,6,2,5,0,0,2,2,1
3,7,9,5,3,1,1,2,2,3
3,17,11,1,2,4,4,2,0,4
5,15,11,11,3,4,2,3,3,0
4,4,4,2,2,4,2,0,0,1
0,4,13,2,2,2,1,1,0,2
2,12,11,6,5,1,2,4,2,2
2,27,11,6,5,2,2,3,4,2
3,12,2,7,2,2,3,4,0,4
0,21,11,2,1,2,2,3,2,0
0,7,11,2,5,2,1,1,2,4
2,7,11,6,3,2,2,2,2,4
0,7,9,7,5,2,4,3,1,3
3,12,9,7,5,1,3,3,3,2
3,12,9,7,5,1,3,1,1,3
4,15,15,4,2,4,4,4,4,0
0,16,6,3,5,3,1,1,1,3
0,4,9,2,5,2,0,2,1,1
2,7,4,6,5,4,3,2,1,0
5,17,11,11,5,1,2,3,4,2
2,7,4,5,5,2,4,2,2,0
0,7,11,2,5,2,0,1,1,3
0,9,6,2,3,2,1,0,2,4
0,7,11,2,5,1,0,0,1,3
0,15,11,10,5,4,4,4,3,0
3,12,11,5,2,4,3,0,0,3
3,7,9,5,2,2,0,2,2,2
0,7,11,10,3,1,3,1,4,2
0,4,11,10,5,2,2,3,4,0
0,8,11,9,2,4,4,2,0,1
0,7,11,2,5,1,1,2,3,2
5,15,11,4,5,2,2,3,2,2
5,15,11,4,3,2,3,3,2,2
3,12,9,7,5,0,0,1,3,4
2,7,11,3,5,0,0,4,4,0
2,7,11,3,5,0,0,4,4,0
2,26,11,3,5,1,2,1,2,3
0,15,11,10,5,4,3,2,1,0
2,15,11,6,5,4,3,4,4,1
1,15,11,5,5,3,2,4,4,1
