Field name,Reservoir unit,Country,Region,Tectonic regime,Onshore/offshore,Hydrocarbon type,Productive area,Period,Depositional system,Depositional environment,Lithology,Porosity type,Gross,Netpay,Porosity,Permeability,Structural setting,Trapping mechanism,Depth
A.J.BERMUDEZ,UNNAMED (CUNDUACAN FIELD),MEXICO,LATIN AMERICA,COMPRESSION,ONSHORE,OIL,,CRETACEOUS,FORESLOPE,DEBRIS-FLOW,DOLOMITE,VUGGY,1189.0,,5.0,,WRENCH,FOLD,3819.8
A.J.BERMUDEZ,UNNAMED (SAMARIA FIELD),MEXICO,LATIN AMERICA,COMPRESSION,ONSHORE,OIL,24700.0,CRETACEOUS,FORESLOPE,DEBRIS-FLOW,DOLOMITE,VUGGY,487.8,,8.0,,WRENCH,FOLD,4120.1
AB TEYMUR,ILAM,IRAN,MIDDLE EAST,COMPRESSION,ONSHORE,OIL,130910.0,CRETACEOUS,LOW-ENERGY CARBONATE MUD,RESTRICTED SHELF,CHALKY LIMESTONE,CHALKY MICROPOROSITY,104.9,70.1,12.0,,FORELAND,FOLD,3063.1
AB TEYMUR,SARVAK-1,IRAN,MIDDLE EAST,COMPRESSION,ONSHORE,OIL,133380.0,CRETACEOUS,LOW-ENERGY CARBONATE MUD,RESTRICTED SHELF,CHALKY LIMESTONE,CHALKY MICROPOROSITY,260.1,189.9,26.0,,FORELAND,FOLD,3263.1
ABKATUN,TAMABRA,MEXICO,LATIN AMERICA,COMPRESSION,OFFSHORE,OIL,58045.00000000001,CRETACEOUS-PALEOGENE,FORESLOPE,DEBRIS-FLOW,DOLOMITE,INTERCRYSTALLINE,93.0,,9.0,3.1,SALT,FOLD,2920.7
ABQAIQ,ARAB D,SAUDI ARABIA,MIDDLE EAST,COMPRESSION,ONSHORE,OIL,302575.0,JURASSIC,HIGH-ENERGY CARBONATE SAND,HIGH-ENERGY RAMP SAND,LIMESTONE,INTERPARTICLE,76.2,56.1,21.0,410.0,FORELAND,FOLD,1844.5
ABQAIQ,HANIFA,SAUDI ARABIA,MIDDLE EAST,COMPRESSION,ONSHORE,OIL,302575.0,JURASSIC,LOW-ENERGY CARBONATE MUD,OPEN SHELF,CHALKY LIMESTONE,CHALKY MICROPOROSITY,100.0,,17.0,1.0,FORELAND,FOLD,2027.4
ABU GHARADIG,ABU ROASH C,EGYPT,AFRICA,EXTENSION,ONSHORE,OIL,16652.74,CRETACEOUS,COASTAL,DELTA,SANDSTONE,PRIMARY INTERGRANULAR,7.3,,21.0,140.0,RIFT,FAULT,2945.7
ABU GHARADIG,ABU ROASH E,EGYPT,AFRICA,EXTENSION,ONSHORE,OIL,12275.9,CRETACEOUS,COASTAL,SHORELINE,SHALY SANDSTONE,PRIMARY INTERGRANULAR,10.1,,16.0,140.0,RIFT,FAULT,3037.2
ABU GHARADIG,BAHARIYA,EGYPT,AFRICA,EXTENSION,ONSHORE,GAS-CONDENSATE,13560.3,CRETACEOUS,FLUVIAL,MEANDERING RIVER,SANDSTONE,PRIMARY INTERGRANULAR,227.1,43.9,10.0,8.0,RIFT,FAULT,3134.8
