Field name,Reservoir unit,Country,Region,Tectonic regime,Hydrocarbon type,Period,Depositional system,Lithology,Trapping mechanism,Structural setting,Gross,Netpay,Porosity,Permeability,Depth
ABQAIQ,ARAB D,SAUDI ARABIA,MIDDLE EAST,COMPRESSION,OIL,JURASSIC,HIGH-ENERGY CARBONATE SAND,LIMESTONE,FOLD,FORELAND,76.2,56.1,21.0,410.0,1844.5
ABU GHARADIG,BAHARIYA,EGYPT,AFRICA,EXTENSION,GAS-CONDENSATE,CRETACEOUS,FLUVIAL,SANDSTONE,FAULT,RIFT,227.1,43.9,10.0,8.0,3134.8
ABU MADI-EL QARA,ABU MADI (LEVEL II),EGYPT,AFRICA,STRIKE-SLIP,GAS,NEOGENE,COASTAL,THINLY-BEDDED SANDSTONE,FOLD,WRENCH,35.1,20.1,22.0,200.0,3000.9
ABU MADI-EL QARA,ABU MADI (LEVEL III),EGYPT,AFRICA,STRIKE-SLIP,GAS,NEOGENE,FLUVIAL,SANDSTONE,FOLD,WRENCH,155.2,125.0,20.0,300.0,3200.9
AL HUWAISAH,SHUAIBA,OMAN,MIDDLE EAST,COMPRESSION,OIL,CRETACEOUS,ORGANIC BUILDUP,LIMESTONE,FOLD,SALT,76.2,30.5,21.0,60.0,1510.7
ALABAMA FERRY,UPPER GLEN ROSE D ZONE,USA,NORTH AMERICA,GRAVITY,OIL,CRETACEOUS,HIGH-ENERGY CARBONATE SAND,LIMESTONE,DEPOSITIONAL,PASSIVE MARGIN,29.0,4.6,12.0,20.0,2652.4
ALBA,ALBA,UK,EUROPE,EXTENSION,OIL,PALEOGENE,DEEP MARINE,THINLY-BEDDED SANDSTONE,EROSIONAL,RIFT,91.5,82.3,35.0,3500.0,1720.1
ALBION-SCIPIO,TRENTON-BLACK RIVER,USA,NORTH AMERICA,STRIKE-SLIP,OIL,ORDOVICIAN,LOW-ENERGY CARBONATE MUD,DOLOMITE,DIAGENETIC,INTRACRATONIC,182.9,122.0,4.0,10.0,1158.5
ALIBEKMOLA,KT I,KAZAKHSTAN,FORMER SOVIET UNION,COMPRESSION,OIL,CARBONIFEROUS,HIGH-ENERGY CARBONATE SAND,LIMESTONE,FOLD,SUB-SALT,91.5,32.0,10.0,20.0,1829.3
ALIBEKMOLA,KT II,KAZAKHSTAN,FORMER SOVIET UNION,COMPRESSION,OIL,CARBONIFEROUS,HIGH-ENERGY CARBONATE SAND,LIMESTONE,FOLD,SUB-SALT,185.1,32.9,10.0,20.0,2920.7
