Parameter,Strategy,Alg,rmse
Gross,HC,D+M,401.61
Netpay,HC,D+M,117.99
Porosity,HC,D+M,4.14
Permeability,HC,D+M,911.97
Depth,HC,D+M,1291.42
Gross,HC,M+M,272.7
Netpay,HC,M+M,54.99
Porosity,HC,M+M,4.19
Permeability,HC,M+M,491.92
Depth,HC,M+M,833.04
Gross,HC,D+D,1216.642898964195
Netpay,HC,D+D,208.5754893078283
Porosity,HC,D+D,14.406578358513864
Permeability,HC,D+D,2224.4969954276557
Depth,HC,D+D,1682.8625625166185
Gross,HC,M+D,1140.9500165914367
Netpay,HC,M+D,204.7200727334767
Porosity,HC,M+D,9.816963775922664
Permeability,HC,M+D,1609.4224810989397
Depth,HC,M+D,1248.8216389380832
Gross,evo,D+M,401.26
Netpay,evo,D+M,117.14
Porosity,evo,D+M,7.63
Permeability,evo,D+M,925.17
Depth,evo,D+M,1362.48
Gross,evo,M+M,417.59
Netpay,evo,M+M,124.56
Porosity,evo,M+M,5.25
Permeability,evo,M+M,817.91
Depth,evo,M+M,1263.09
Gross,evo,D+D,1215.3541450128848
Netpay,evo,D+D,256.20627092247366
Porosity,evo,D+D,23.612791966314454
Permeability,evo,D+D,1122.7809838867854
Depth,evo,D+D,1271.5250963626315
Gross,evo,M+D,1044.293898612838
Netpay,evo,M+D,251.1559925225755
Porosity,evo,M+D,23.435314046209076
Permeability,evo,M+D,2201.8473758793243
Depth,evo,M+D,1439.9363728998583
