Parameter,Strategy,Alg,rmse
D,HC,D+M,2.6
I,HC,D+M,1121.99
O,HC,D+M,110.76
T,HC,D+M,1158.74
D,HC,M+M,2.59
I,HC,M+M,1117.56
O,HC,M+M,110.73
T,HC,M+M,1161.32
D,HC,D+D,2.470313872281346
I,HC,D+D,2075.14026546364
O,HC,D+D,152.9317332547264
T,HC,D+D,1741.818553257435
D,HC,M+D,2.470313872281346
I,HC,M+D,2064.8993423765933
O,HC,M+D,154.2435777341757
T,HC,M+D,1736.7794155665513
D,evo,D+M,2.65
I,evo,D+M,1064.9
O,evo,D+M,42.13
T,evo,D+M,112.27
D,evo,M+M,2.65
I,evo,M+M,10.18
O,evo,M+M,95.8
T,evo,M+M,426.22
D,evo,D+D,2.470313872281346
I,evo,D+D,395.1890936532252
O,evo,D+D,139.06753658348916
T,evo,D+D,1601.3863859042565
D,evo,M+D,2.470313872281346
I,evo,M+D,344.6529156835901
O,evo,M+D,38.38145413520727
T,evo,M+D,419.5225558932235
