Parameter,Strategy,Alg,rmse
Latitude,HC,D+M,1.41
Longitude,HC,D+M,2.31
Altitude,HC,D+M,95.81
t2m,HC,D+M,6.08
ws,HC,D+M,4.05
wd,HC,D+M,231.31
tp,HC,D+M,1.75
blh,HC,D+M,90128442.11
ssr,HC,D+M,651981896.31
CVD60,HC,D+M,0.04
no2,HC,D+M,73676.68
o3,HC,D+M,13.99
so2,HC,D+M,32776.87
co,HC,D+M,0.43
pm10,HC,D+M,5.83
pm2.5,HC,D+M,0.57
Latitude,HC,M+M,1.11
Longitude,HC,M+M,1.95
Altitude,HC,M+M,95.83
t2m,HC,M+M,6.39
ws,HC,M+M,3.32
wd,HC,M+M,97.4
tp,HC,M+M,1.62
blh,HC,M+M,584.64
ssr,HC,M+M,713809161.01
CVD60,HC,M+M,0.04
no2,HC,M+M,1804.46
o3,HC,M+M,14.03
so2,HC,M+M,34881.52
co,HC,M+M,0.43
pm10,HC,M+M,5.83
pm2.5,HC,M+M,0.58
Latitude,HC,D+D,2.3232534640967613
Longitude,HC,D+D,2.4948284823281908
Altitude,HC,D+D,189.8004589775508
t2m,HC,D+D,11.657186566496689
ws,HC,D+D,13.424687326707282
wd,HC,D+D,200.75103019046068
tp,HC,D+D,19.69320789567063
blh,HC,D+D,1446.5727036281255
ssr,HC,D+D,7524257526.180597
CVD60,HC,D+D,0.10990579427983918
no2,HC,D+D,466052.5978886122
o3,HC,D+D,31.40798422242548
so2,HC,D+D,114061.12125780228
co,HC,D+D,1.0114909467432447
pm10,HC,D+D,17.24440158880044
pm2.5,HC,D+D,4.833445250585296
Latitude,HC,M+D,2.1912904353676375
Longitude,HC,M+D,2.433581384721695
Altitude,HC,M+D,184.75107001037827
t2m,HC,M+D,10.924361118551143
ws,HC,M+D,13.511095414944704
wd,HC,M+D,222.38857718628256
tp,HC,M+D,18.66964985450187
blh,HC,M+D,1581.2454246208627
ssr,HC,M+D,7570662335.101147
CVD60,HC,M+D,0.09868785329817638
no2,HC,M+D,403151.0331320976
o3,HC,M+D,34.632208571464524
so2,HC,M+D,117694.77745830746
co,HC,M+D,1.069344054718156
pm10,HC,M+D,16.632710932903976
pm2.5,HC,M+D,4.811929002308551
Latitude,evo,D+M,1.11
Longitude,evo,D+M,2.31
Altitude,evo,D+M,95.66
t2m,evo,D+M,5.29
ws,evo,D+M,3.32
wd,evo,D+M,97.85
tp,evo,D+M,1.62
blh,evo,D+M,582.82
ssr,evo,D+M,710582185.77
CVD60,evo,D+M,0.04
no2,evo,D+M,77270.04
o3,evo,D+M,13.99
so2,evo,D+M,35238.67
co,evo,D+M,0.43
pm10,evo,D+M,5.83
pm2.5,evo,D+M,0.58
Latitude,evo,M+M,1.11
Longitude,evo,M+M,2.31
Altitude,evo,M+M,95.69
t2m,evo,M+M,6.08
ws,evo,M+M,3.32
wd,evo,M+M,98.12
tp,evo,M+M,1.62
blh,evo,M+M,588.33
ssr,evo,M+M,695950853.05
CVD60,evo,M+M,0.04
no2,evo,M+M,79248.47
o3,evo,M+M,14.04
so2,evo,M+M,35192.85
co,evo,M+M,0.43
pm10,evo,M+M,5.83
pm2.5,evo,M+M,0.57
Latitude,evo,D+D,2.4446958682266526
Longitude,evo,D+D,2.410509462257326
Altitude,evo,D+D,170.05882283107027
t2m,evo,D+D,11.649976085568417
ws,evo,D+D,11.969096957928842
wd,evo,D+D,208.08166454997584
tp,evo,D+D,19.709303634303243
blh,evo,D+D,1643.1801217872473
ssr,evo,D+D,6466310137.804588
CVD60,evo,D+D,0.1035571895604327
no2,evo,D+D,448665.1282574116
o3,evo,D+D,34.71979594264389
so2,evo,D+D,122573.17025195491
co,evo,D+D,0.9874882568879226
pm10,evo,D+D,18.1973753274785
pm2.5,evo,D+D,4.646813025666922
Latitude,evo,M+D,2.3945513075708287
Longitude,evo,M+D,2.533082179449495
Altitude,evo,M+D,181.26911410682976
t2m,evo,M+D,11.420049740256253
ws,evo,M+D,13.367588584042633
wd,evo,M+D,222.5235879353848
tp,evo,M+D,20.581679620434272
blh,evo,M+D,1572.7663267585797
ssr,evo,M+D,7074341743.45996
CVD60,evo,M+D,0.09328479160806559
no2,evo,M+D,463731.1243471267
o3,evo,M+D,34.16176827864387
so2,evo,M+D,103075.72285308866
co,evo,M+D,1.092688295634074
pm10,evo,M+D,18.128913811000725
pm2.5,evo,M+D,4.578525565935321
