Parameter,Strategy,Alg,accuracy
Region,HC,D+M,0.18
Zone,HC,D+M,0.23
Type,HC,D+M,0.48
Year,HC,D+M,0.05
Season,HC,D+M,0.3
Month,HC,D+M,0.05
Day,HC,D+M,0.02
Hour,HC,D+M,0.03
Region,HC,M+M,0.21
Zone,HC,M+M,0.23
Type,HC,M+M,0.48
Year,HC,M+M,0.04
Season,HC,M+M,0.25
Month,HC,M+M,0.06
Day,HC,M+M,0.05
Hour,HC,M+M,0.05
Region,HC,D+D,0.16
Zone,HC,D+D,0.23
Type,HC,D+D,0.48
Year,HC,D+D,0.05
Season,HC,D+D,0.3
Month,HC,D+D,0.08
Day,HC,D+D,0.0
Hour,HC,D+D,0.02
Region,HC,M+D,0.12
Zone,HC,M+D,0.23
Type,HC,M+D,0.48
Year,HC,M+D,0.04
Season,HC,M+D,0.23
Month,HC,M+D,0.05
Day,HC,M+D,0.04
Hour,HC,M+D,0.04
Region,evo,D+M,0.21
Zone,evo,D+M,0.23
Type,evo,D+M,0.48
Year,evo,D+M,0.05
Season,evo,D+M,0.31
Month,evo,D+M,0.08
Day,evo,D+M,0.03
Hour,evo,D+M,0.04
Region,evo,M+M,0.21
Zone,evo,M+M,0.23
Type,evo,M+M,0.48
Year,evo,M+M,0.05
Season,evo,M+M,0.27
Month,evo,M+M,0.1
Day,evo,M+M,0.05
Hour,evo,M+M,0.03
Region,evo,D+D,0.21
Zone,evo,D+D,0.22
Type,evo,D+D,0.48
Year,evo,D+D,0.12
Season,evo,D+D,0.27
Month,evo,D+D,0.07
Day,evo,D+D,0.04
Hour,evo,D+D,0.04
Region,evo,M+D,0.21
Zone,evo,M+D,0.23
Type,evo,M+D,0.48
Year,evo,M+D,0.05
Season,evo,M+D,0.22
Month,evo,M+D,0.08
Day,evo,M+D,0.04
Hour,evo,M+D,0.02
