Parameter,Strategy,Alg,rmse
SproutN,HC,D+M,0.27
BunchN,HC,D+M,0.52
GrapeW,HC,D+M,0.72
WoodW,HC,D+M,0.54
SPAD06,HC,D+M,0.14
NDVI06,HC,D+M,0.14
SPAD08,HC,D+M,0.16
NDVI08,HC,D+M,0.17
Acid,HC,D+M,0.2
Potass,HC,D+M,0.2
Brix,HC,D+M,0.1
pH,HC,D+M,0.05
Anthoc,HC,D+M,0.49
Polyph,HC,D+M,0.34
SproutN,HC,M+M,0.25
BunchN,HC,M+M,0.52
GrapeW,HC,M+M,0.59
WoodW,HC,M+M,0.49
SPAD06,HC,M+M,0.13
NDVI06,HC,M+M,0.13
SPAD08,HC,M+M,0.14
NDVI08,HC,M+M,0.16
Acid,HC,M+M,0.19
Potass,HC,M+M,0.2
Brix,HC,M+M,0.1
pH,HC,M+M,0.05
Anthoc,HC,M+M,0.48
Polyph,HC,M+M,0.33
SproutN,HC,D+D,0.39005123171527256
BunchN,HC,D+D,0.6796505556675393
GrapeW,HC,D+D,1.0190873817681863
WoodW,HC,D+D,0.7804334247899959
SPAD06,HC,D+D,0.20672593039793466
NDVI06,HC,D+D,0.23606873428242614
SPAD08,HC,D+D,0.24990233064212203
NDVI08,HC,D+D,0.24486275682308722
Acid,HC,D+D,0.3314763663694437
Potass,HC,D+D,0.3063523046183649
Brix,HC,D+D,0.1331897001940896
pH,HC,D+D,0.08759236481525054
Anthoc,HC,D+D,0.7556239587057564
Polyph,HC,D+D,0.6532909318309436
SproutN,HC,M+D,0.39231885920546183
BunchN,HC,M+D,0.8487123053819988
GrapeW,HC,M+D,0.7940174041639702
WoodW,HC,M+D,0.6890080264980499
SPAD06,HC,M+D,0.21163773192031357
NDVI06,HC,M+D,0.17558283159423352
SPAD08,HC,M+D,0.2136669615419747
NDVI08,HC,M+D,0.21949370564159668
Acid,HC,M+D,0.16708068863655215
Potass,HC,M+D,0.2827997896200649
Brix,HC,M+D,0.13601545924995256
pH,HC,M+D,0.07989975548119636
Anthoc,HC,M+D,0.6917781856807741
Polyph,HC,M+D,0.563973906282174
SproutN,evo,D+M,0.27
BunchN,evo,D+M,0.57
GrapeW,evo,D+M,0.77
WoodW,evo,D+M,0.54
SPAD06,evo,D+M,0.14
NDVI06,evo,D+M,0.14
SPAD08,evo,D+M,0.15
NDVI08,evo,D+M,0.17
Acid,evo,D+M,0.2
Potass,evo,D+M,0.2
Brix,evo,D+M,0.09
pH,evo,D+M,0.05
Anthoc,evo,D+M,0.5
Polyph,evo,D+M,0.34
SproutN,evo,M+M,0.27
BunchN,evo,M+M,0.57
GrapeW,evo,M+M,0.7
WoodW,evo,M+M,0.54
SPAD06,evo,M+M,0.13
NDVI06,evo,M+M,0.14
SPAD08,evo,M+M,0.13
NDVI08,evo,M+M,0.17
Acid,evo,M+M,0.2
Potass,evo,M+M,0.2
Brix,evo,M+M,0.11
pH,evo,M+M,0.05
Anthoc,evo,M+M,0.47
Polyph,evo,M+M,0.34
SproutN,evo,D+D,0.4119202839414266
BunchN,evo,D+D,0.8563048344411869
GrapeW,evo,D+D,1.0369170208002265
WoodW,evo,D+D,0.8070243836310526
SPAD06,evo,D+D,0.2201724361840657
NDVI06,evo,D+D,0.22859832343716566
SPAD08,evo,D+D,0.22892981595484577
NDVI08,evo,D+D,0.26346126348165433
Acid,evo,D+D,0.2957185814055794
Potass,evo,D+D,0.2651679165569049
Brix,evo,D+D,0.17308432149518505
pH,evo,D+D,0.08622303672749276
Anthoc,evo,D+D,0.776787478806038
Polyph,evo,D+D,0.5353629860428541
SproutN,evo,M+D,0.44945178918217366
BunchN,evo,M+D,0.7868731729988544
GrapeW,evo,M+D,1.14057130592352
WoodW,evo,M+D,0.6197310111066062
SPAD06,evo,M+D,0.13162276737908354
NDVI06,evo,M+D,0.21185781814255433
SPAD08,evo,M+D,0.27463323472851664
NDVI08,evo,M+D,0.2612555698310697
Acid,evo,M+D,0.32294351569840757
Potass,evo,M+D,0.29662697478147093
Brix,evo,M+D,0.1538405909592683
pH,evo,M+D,0.082911201341296
Anthoc,evo,M+D,0.6955420231883981
Polyph,evo,M+D,0.6076553345623915
