Parameter,Strategy,Alg,accuracy
sex,HC,D+M,0.6
relation,HC,D+M,0.22
is_parent,HC,D+M,0.74
has_pets,HC,D+M,0.95
sex,HC,M+M,0.6
relation,HC,M+M,0.22
is_parent,HC,M+M,0.74
has_pets,HC,M+M,0.95
sex,HC,D+D,0.61
relation,HC,D+D,0.23
is_parent,HC,D+D,0.74
has_pets,HC,D+D,0.95
sex,HC,M+D,0.6
relation,HC,M+D,0.22
is_parent,HC,M+D,0.74
has_pets,HC,M+D,0.95
sex,evo,D+M,0.61
relation,evo,D+M,0.22
is_parent,evo,D+M,0.74
has_pets,evo,D+M,0.95
sex,evo,M+M,0.61
relation,evo,M+M,0.22
is_parent,evo,M+M,0.74
has_pets,evo,M+M,0.95
sex,evo,D+D,0.61
relation,evo,D+D,0.24
is_parent,evo,D+D,0.74
has_pets,evo,D+D,0.95
sex,evo,M+D,0.61
relation,evo,M+D,0.22
is_parent,evo,M+D,0.74
has_pets,evo,M+D,0.95
